,Unnamed: 0,person_scene,series_num,num_lines,num_words
608,608,Sheldon,Series 01,1,22
609,609,Howard,Series 01,1,4
611,611,Sheldon,Series 01,1,22
612,612,Leonard,Series 01,1,11
613,613,Howard,Series 01,1,6
614,614,Leonard,Series 01,1,2
615,615,Sheldon,Series 01,1,20
616,616,Leonard,Series 01,1,6
617,617,Howard,Series 01,2,9
618,618,hallway),Series 01,1,18
619,619,Penny,Series 01,1,13
620,620,Doug,Series 01,1,4
621,621,Leonard,Series 01,3,3
622,622,Penny,Series 01,1,4
623,623,Leonard,Series 01,1,11
624,624,Penny,Series 01,1,10
625,625,Leonard,Series 01,3,20
626,626,Penny,Series 01,1,5
627,627,Leonard,Series 01,3,10
628,628,Sheldon,Series 01,2,4
629,629,Raj,Series 01,1,4
630,630,Leonard,Series 01,2,16
631,631,Howard,Series 01,1,9
632,632,Leonard,Series 01,1,5
633,633,Howard,Series 01,1,4
634,634,Sheldon,Series 01,1,14
635,635,Leonard,Series 01,2,26
636,636,Howard,Series 01,1,6
637,637,Leonard,Series 01,2,6
638,638,Sheldon,Series 01,1,37
639,639,Howard,Series 01,4,30
640,640,Leonard,Series 01,2,20
641,641,Raj,Series 01,1,2
642,642,Leonard,Series 01,2,6
643,643,Sheldon,Series 01,1,12
644,644,Leonard,Series 01,1,1
645,645,Sheldon,Series 01,4,37
646,646,Howard,Series 01,1,11
647,647,Leonard,Series 01,1,1
648,648,Howard,Series 01,3,23
649,649,Leonard,Series 01,1,34
650,650,Howard,Series 01,1,6
652,652,Leonard,Series 01,1,2
653,653,Lesley,Series 01,2,2
654,654,Leonard,Series 01,1,8
655,655,Lesley,Series 01,1,2
656,656,Leonard,Series 01,2,9
657,657,Lesley,Series 01,2,25
658,658,Leonard,Series 01,3,27
659,659,Lesley,Series 01,1,6
660,660,Leonard,Series 01,3,31
661,661,Lesley,Series 01,1,7
662,662,Leonard,Series 01,2,38
663,663,Lesley,Series 01,2,32
664,664,Leonard,Series 01,2,4
665,665,Lesley,Series 01,1,18
666,666,Leonard,Series 01,1,5
667,667,Lesley,Series 01,2,1
668,668,Leonard,Series 01,1,8
669,669,Lesley,Series 01,2,5
670,670,Leonard,Series 01,3,10
671,671,Lesley,Series 01,1,8
672,672,Lesley,Series 01,1,4
673,673,Leonard,Series 01,1,12
674,674,Lesley,Series 01,4,22
675,675,Leonard,Series 01,1,1
676,676,Lesley,Series 01,1,1
677,677,Leonard,Series 01,2,7
678,678,Lesley,Series 01,2,2
679,679,Leonard,Series 01,1,3
681,681,Howard,Series 01,1,20
682,682,Sheldon,Series 01,2,17
683,683,Howard,Series 01,2,12
684,684,Sheldon,Series 01,2,25
685,685,Raj,Series 01,1,8
686,686,Howard,Series 01,2,21
687,687,Sheldon,Series 01,2,3
688,688,Howard,Series 01,1,22
689,689,Sheldon,Series 01,1,2
690,690,Howard,Series 01,2,3
691,691,(entering),Series 01,1,5
692,692,Sheldon,Series 01,2,9
693,693,Raj,Series 01,2,6
694,694,Howard,Series 01,1,7
